Crop,Market,Price,Distance
Paddy,Peddapuram Market,2450,18
Paddy,Samalkota Market,2380,25
Paddy,Kakinada Market,2320,38
Groundnut,Peddapuram Market,6100,18
Groundnut,Tuni Market,6250,45
Groundnut,Kakinada Market,6000,38
Maize,Peddapuram Market,2250,18
Maize,Kakinada Market,2300,38
Maize,Samalkota Market,2200,25
Cotton,Kakinada Market,7200,38
Cotton,Peddapuram Market,7050,18
Cotton,Rajahmundry Market,7150,60
Chilli,Guntur Market,18500,220
Chilli,Kakinada Market,17800,38
Chilli,Samalkota Market,17500,25
